AGENT;ID;AGE;SEXE;AGE4T;PROF;RS4;HABITAT;Revenu;CP;POI  DS;PROF;RS4;probinf;probsup
AG2497;62375;20;Femme;<30 ans;Eleve, etudiant;Non;Appartement;3;74940;1,187905;7;0;0.5;0.84
AG2325;62195;24;Femme;<30 ans;Eleve, etudiant;Non;Maison;1;95280;1,32845;7;0;0.5;0.5
AG2360;62221;18;Femme;<30 ans;Eleve, etudiant;Non;Maison;1;76100;1,187905;7;0;0.5;0.5
AG2361;62221;18;Femme;<30 ans;Eleve, etudiant;Non;Maison;1;76100;1,187905;7;0;0.5;0.5
AG2377;62242;21;Femme;<30 ans;Eleve, etudiant;Non;Maison;6;62000;1,167242;7;0;0.5;0.5
AG2436;62317;18;Femme;<30 ans;Eleve, etudiant;Non;Maison;9;92700;1,32845;7;0;0.5;0.5
AG2450;62332;21;Femme;<30 ans;Eleve, etudiant;Non;Maison;7;44000;1,228906;7;0;0.5;0.5
AG2489;62369;18;Femme;<30 ans;Eleve, etudiant;Non;Maison;1;76100;1,187905;7;0;0.5;0.5
AG2490;62369;18;Femme;<30 ans;Eleve, etudiant;Non;Maison;1;76100;1,187905;7;0;0.5;0.5
AG2260;62134;22;Femme;<30 ans;Eleve, etudiant;Oui;Appartement;9;20218;1,415365;7;0;0.5;0.5
AG2363;62223;23;Femme;<30 ans;Eleve, etudiant;Oui;Appartement;3;14600;1,21463;7;0;0.5;0.5
AG2399;62271;22;Femme;<30 ans;Eleve, etudiant;Oui;Appartement;1;63500;1,21463;7;0;0.5;0.5
AG2404;62276;18;Femme;<30 ans;Eleve, etudiant;Oui;Appartement;8;75005;1,32845;7;0;0.5;0.5
AG2472;62354;24;Femme;<30 ans;Eleve, etudiant;Oui;Appartement;9;31200;1,228906;7;0;0.5;0.5
AG2265;62139;24;Femme;<30 ans;Eleve, etudiant;Oui;Maison;7;59670;1,39851;7;0;0.5;0.5
AG2266;62139;24;Femme;<30 ans;Eleve, etudiant;Oui;Maison;7;59670;1,39851;7;0;0.5;0.5
AG2313;62183;21;Femme;<30 ans;Eleve, etudiant;Oui;Maison;4;87430;1,21463;7;0;0.5;0.5
AG2314;62183;21;Femme;<30 ans;Eleve, etudiant;Oui;Maison;4;87430;1,21463;7;0;0.5;0.5
AG2344;62211;18;Femme;<30 ans;Eleve, etudiant;Oui;Maison;5;47300;1,20753;7;0;0.5;0.5
AG2359;62221;18;Femme;<30 ans;Eleve, etudiant;Oui;Maison;1;76100;1,187905;7;0;0.5;0.5
AG2378;62242;21;Femme;<30 ans;Eleve, etudiant;Oui;Maison;6;62000;1,167242;7;0;0.5;0.5
AG2415;62293;19;Femme;<30 ans;Eleve, etudiant;Oui;Maison;5;68200;1,187905;7;0;0.5;0.5
AG2425;62303;23;Femme;<30 ans;Eleve, etudiant;Oui;Maison;5;9500;1,256553;7;0;0.5;0.5
AG2426;62303;23;Femme;<30 ans;Eleve, etudiant;Oui;Maison;5;9500;1,256553;7;0;0.5;0.5
AG2428;62305;19;Femme;<30 ans;Eleve, etudiant;Oui;Maison;7;76130;1,187905;7;0;0.5;0.5
AG2434;62315;21;Femme;<30 ans;Eleve, etudiant;Oui;Maison;5;59148;1,21463;7;0;0.5;0.5
AG2457;62339;22;Femme;<30 ans;Eleve, etudiant;Oui;Maison;1;62260;1,187905;7;0;0.5;0.5
AG2498;62377;22;Femme;<30 ans;Eleve, etudiant;Oui;Maison;4;34170;1,202222;7;0;0.5;0.5
AG2499;62377;22;Femme;<30 ans;Eleve, etudiant;Oui;Maison;4;34170;1,202222;7;0;0.5;0.5
AG339;7955;28;Femme;<30 ans;Employe, personnel de service;Non;Appartement;3;92330;1,004646;5;2;0.35;0.84
AG521;11596;27;Femme;<30 ans;Employe, personnel de service;Non;Appartement;6;95220;1,004646;5;2;0.35;0.84
AG602;13646;26;Femme;<30 ans;Employe, personnel de service;Non;Appartement;5;47300;0,9132;5;0;0.35;0.84
AG722;18108;20;Femme;<30 ans;Employe, personnel de service;Non;Appartement;9;77100;0,882732;5;0;0.35;0.84
AG723;18108;20;Femme;<30 ans;Employe, personnel de service;Non;Appartement;9;77100;0,882732;5;0;0.35;0.84
AG724;18108;20;Femme;<30 ans;Employe, personnel de service;Non;Appartement;9;77100;0,882732;5;0;0.35;0.84
AG1222;29803;22;Femme;<30 ans;Employe, personnel de service;Non;Appartement;9;92700;1,004646;5;0;0.35;0.84
AG1292;31152;20;Femme;<30 ans;Employe, personnel de service;Non;Appartement;4;94000;1,004646;5;0;0.35;0.84
AG1505;37945;23;Femme;<30 ans;Employe, personnel de service;Non;Appartement;2;95000;1,004646;5;0;0.35;0.84
AG1506;37945;23;Femme;<30 ans;Employe, personnel de service;Non;Appartement;2;95000;1,004646;5;0;0.35;0.84
AG1605;40742;26;Femme;<30 ans;Employe, personnel de service;Non;Appartement;4;69200;0,898358;5;0;0.35;0.84
AG1606;40742;26;Femme;<30 ans;Employe, personnel de service;Non;Appartement;4;69200;0,898358;5;0;0.35;0.84
AG1908;50655;23;Femme;<30 ans;Employe, personnel de service;Non;Appartement;3;59154;0,898358;5;0;0.35;0.84
AG1909;50655;23;Femme;<30 ans;Employe, personnel de service;Non;Appartement;3;59154;0,898358;5;0;0.35;0.84
AG1910;50655;23;Femme;<30 ans;Employe, personnel de service;Non;Appartement;3;59154;0,898358;5;0;0.35;0.84
AG2238;62112;19;Femme;<30 ans;Employe, personnel de service;Non;Appartement;1;2300;0,918569;5;0;0.35;0.84
AG2250;62125;18;Femme;<30 ans;Employe, personnel de service;Non;Appartement;2;53400;0,950274;5;0;0.35;0.84
AG2298;62170;18;Femme;<30 ans;Employe, personnel de service;Non;Appartement;6;6300;0,909185;5;0;0.35;0.84
AG2303;62174;22;Femme;<30 ans;Employe, personnel de service;Non;Appartement;4;69002;0,898358;5;0;0.35;0.84
AG2324;62194;23;Femme;<30 ans;Employe, personnel de service;Non;Appartement;2;13200;0,893371;5;0;0.35;0.84
AG2339;62207;28;Femme;<30 ans;Employe, personnel de service;Non;Appartement;4;74940;0,898358;5;0;0.35;0.84
AG2367;62229;25;Femme;<30 ans;Employe, personnel de service;Non;Appartement;9;60190;1,057629;5;0;0.35;0.84
AG2386;62250;24;Femme;<30 ans;Employe, personnel de service;Non;Appartement;5;75001;1,004646;5;0;0.35;0.84
AG2402;62275;24;Femme;<30 ans;Employe, personnel de service;Non;Appartement;7;93330;1,004646;5;0;0.35;0.84
AG2403;62275;24;Femme;<30 ans;Employe, personnel de service;Non;Appartement;7;93330;1,004646;5;0;0.35;0.84
AG2505;62382;22;Femme;<30 ans;Employe, personnel de service;Non;Appartement;2;59100;0,898358;5;0;0.35;0.84
AG2511;62395;29;Femme;<30 ans;Employe, personnel de service;Non;Appartement;6;31200;0,929365;5;0;0.35;0.84
AG378;8945;28;Femme;<30 ans;Employe, personnel de service;Non;Maison;3;59223;0,898358;5;2;0.2;0.82
AG379;8945;28;Femme;<30 ans;Employe, personnel de service;Non;Maison;3;59223;0,898358;5;2;0.2;0.82
AG433;9916;23;Femme;<30 ans;Employe, personnel de service;Non;Maison;4;14490;1,057629;5;2;0.2;0.82
AG817;20254;26;Femme;<30 ans;Employe, personnel de service;Non;Maison;4;57520;0,918569;5;0;0.2;0.82
AG1367;33727;27;Femme;<30 ans;Employe, personnel de service;Non;Maison;5;67600;0,918569;5;0;0.2;0.82
AG1455;36292;24;Femme;<30 ans;Employe, personnel de service;Non;Maison;4;30400;0,909185;5;0;0.2;0.82
AG1456;36292;24;Femme;<30 ans;Employe, personnel de service;Non;Maison;4;30400;0,909185;5;0;0.2;0.82
AG1920;51082;27;Femme;<30 ans;Employe, personnel de service;Non;Maison;9;67360;1,057629;5;0;0.2;0.82
AG1972;52743;26;Femme;<30 ans;Employe, personnel de service;Non;Maison;5;7140;0,950274;5;0;0.2;0.82
AG2226;62103;26;Femme;<30 ans;Employe, personnel de service;Non;Maison;7;39500;1,057629;5;0;0.2;0.82
AG2234;62108;29;Femme;<30 ans;Employe, personnel de service;Non;Maison;6;75013;1,004646;5;0;0.2;0.82
AG2237;62111;25;Femme;<30 ans;Employe, personnel de service;Non;Maison;5;54360;0,918569;5;0;0.2;0.82
AG2257;62132;28;Femme;<30 ans;Employe, personnel de service;Non;Maison;4;95270;0,918569;5;0;0.2;0.82
AG2261;62135;28;Femme;<30 ans;Employe, personnel de service;Non;Maison;7;63210;1,057629;5;0;0.2;0.82
AG2262;62136;24;Femme;<30 ans;Employe, personnel de service;Non;Maison;8;75012;1,004646;5;0;0.2;0.82
AG2327;62198;22;Femme;<30 ans;Employe, personnel de service;Non;Maison;1;59220;0,898358;5;0;0.2;0.82
AG2395;62266;22;Femme;<30 ans;Employe, personnel de service;Non;Maison;4;82000;0,9132;5;0;0.2;0.82
AG2401;62274;19;Femme;<30 ans;Employe, personnel de service;Non;Maison;8;31450;0,929365;5;0;0.2;0.82
AG2491;62370;22;Femme;<30 ans;Employe, personnel de service;Non;Maison;4;18100;0,9132;5;0;0.2;0.82
AG2492;62370;22;Femme;<30 ans;Employe, personnel de service;Non;Maison;4;18100;0,9132;5;0;0.2;0.82
AG25;407;28;Femme;<30 ans;Employe, personnel de service;Oui;Appartement;4;95530;1,004646;5;2;0.68;0.84
AG599;13584;26;Femme;<30 ans;Employe, personnel de service;Oui;Appartement;3;13700;0,909185;5;0;0.68;0.84
AG617;14029;27;Femme;<30 ans;Employe, personnel de service;Oui;Appartement;5;75017;1,004646;5;0;0.68;0.84
AG618;14029;27;Femme;<30 ans;Employe, personnel de service;Oui;Appartement;5;75017;1,004646;5;0;0.68;0.84
AG1477;37036;29;Femme;<30 ans;Employe, personnel de service;Oui;Appartement;3;4600;0,950274;5;0;0.68;0.84
AG1781;45968;22;Femme;<30 ans;Employe, personnel de service;Oui;Appartement;6;83510;0,92964;5;0;0.68;0.84
AG1824;47829;23;Femme;<30 ans;Employe, personnel de service;Oui;Appartement;3;59000;0,898358;5;0;0.68;0.84
AG1914;50857;22;Femme;<30 ans;Employe, personnel de service;Oui;Appartement;2;93420;1,004646;5;0;0.68;0.84
AG2215;61843;24;Femme;<30 ans;Employe, personnel de service;Oui;Appartement;1;19000;0,882732;5;0;0.68;0.84
AG2231;62106;27;Femme;<30 ans;Employe, personnel de service;Oui;Appartement;3;42000;0,898358;5;0;0.68;0.84
AG2299;62170;18;Femme;<30 ans;Employe, personnel de service;Oui;Appartement;6;6300;0,909185;5;0;0.68;0.84
AG2304;62174;22;Femme;<30 ans;Employe, personnel de service;Oui;Appartement;4;69002;0,898358;5;0;0.68;0.84
AG2356;62220;24;Femme;<30 ans;Employe, personnel de service;Oui;Appartement;5;75016;1,004646;5;0;0.68;0.84
AG2357;62220;24;Femme;<30 ans;Employe, personnel de service;Oui;Appartement;5;75016;1,004646;5;0;0.68;0.84
AG2358;62220;24;Femme;<30 ans;Employe, personnel de service;Oui;Appartement;5;75016;1,004646;5;0;0.68;0.84
AG2397;62269;25;Femme;<30 ans;Employe, personnel de service;Oui;Appartement;9;13100;0,909185;5;0;0.68;0.84
AG1572;39998;28;Femme;<30 ans;Employe, personnel de service;Oui;Maison;3;61100;1,057629;5;0;0.5;0.5
AG1573;39998;28;Femme;<30 ans;Employe, personnel de service;Oui;Maison;3;61100;1,057629;5;0;0.5;0.5
AG1926;51216;28;Femme;<30 ans;Employe, personnel de service;Oui;Maison;2;69850;0,918569;5;0;0.5;0.5
AG1973;52743;26;Femme;<30 ans;Employe, personnel de service;Oui;Maison;5;7140;0,950274;5;0;0.5;0.5
AG1974;52743;26;Femme;<30 ans;Employe, personnel de service;Oui;Maison;5;7140;0,950274;5;0;0.5;0.5
AG2233;62108;29;Femme;<30 ans;Employe, personnel de service;Oui;Maison;6;75013;1,004646;5;0;0.5;0.5
AG2248;62122;29;Femme;<30 ans;Employe, personnel de service;Oui;Maison;9;75016;1,004646;5;0;0.5;0.5
AG2258;62132;28;Femme;<30 ans;Employe, personnel de service;Oui;Maison;4;95270;0,918569;5;0;0.5;0.5
AG2305;62175;22;Femme;<30 ans;Employe, personnel de service;Oui;Maison;3;44521;1,094133;5;0;0.5;0.5
AG2307;62177;21;Femme;<30 ans;Employe, personnel de service;Oui;Maison;3;38190;0,898358;5;0;0.5;0.5
AG2308;62177;21;Femme;<30 ans;Employe, personnel de service;Oui;Maison;3;38190;0,898358;5;0;0.5;0.5
AG2321;62191;28;Femme;<30 ans;Employe, personnel de service;Oui;Maison;7;22120;0,9132;5;0;0.5;0.5
AG2351;62216;21;Femme;<30 ans;Employe, personnel de service;Oui;Maison;9;41500;1,094133;5;0;0.5;0.5
AG2352;62216;21;Femme;<30 ans;Employe, personnel de service;Oui;Maison;9;41500;1,094133;5;0;0.5;0.5
AG1898;49999;29;Femme;<30 ans;Ouvrier, ouvirier agricole;Non;Maison;5;76210;0,918569;6;0;0.5;0.5
AG2082;56335;22;Femme;<30 ans;Ouvrier, ouvirier agricole;Non;Maison;9;55130;1,057629;6;0;0.5;0.5
AG644;15113;29;Femme;<30 ans;Profession intermediaire, contremątre;Non;Appartement;9;34170;0,937071;4;0;0.5;0.5
AG1052;25593;26;Femme;<30 ans;Profession intermediaire, contremątre;Non;Appartement;9;54000;0,925912;4;0;0.5;0.5
AG1053;25593;26;Femme;<30 ans;Profession intermediaire, contremątre;Non;Appartement;9;54000;0,925912;4;0;0.5;0.5
AG1524;38582;29;Femme;<30 ans;Profession intermediaire, contremątre;Non;Appartement;5;94380;1,03546;4;0;0.5;0.5
AG2380;62244;24;Femme;<30 ans;Profession intermediaire, contremątre;Non;Appartement;6;69009;0,925912;4;0;0.5;0.5
AG2381;62244;24;Femme;<30 ans;Profession intermediaire, contremątre;Non;Appartement;6;69009;0,925912;4;0;0.5;0.5
AG2411;62287;19;Femme;<30 ans;Profession intermediaire, contremątre;Non;Appartement;1;44640;0,95787;4;0;0.5;0.5
AG2412;62287;19;Femme;<30 ans;Profession intermediaire, contremątre;Non;Appartement;1;44640;0,95787;4;0;0.5;0.5
AG2468;62350;24;Femme;<30 ans;Profession intermediaire, contremątre;Non;Appartement;4;11100;0,920772;4;0;0.5;0.5
AG2469;62350;24;Femme;<30 ans;Profession intermediaire, contremątre;Non;Appartement;4;11100;0,920772;4;0;0.5;0.5
AG2028;54381;26;Femme;<30 ans;Profession intermediaire, contremątre;Oui;Appartement;9;78520;1,03546;4;0;0.5;0.5
AG2281;62155;22;Femme;<30 ans;Profession intermediaire, contremątre;Oui;Appartement;5;30540;0,937071;4;0;0.5;0.5
AG2282;62155;22;Femme;<30 ans;Profession intermediaire, contremątre;Oui;Appartement;5;30540;0,937071;4;0;0.5;0.5
AG2255;62131;27;Femme;<30 ans;Profession intermediaire, contremątre;Oui;Maison;7;76640;1,090068;4;0;0.5;0.5
AG2256;62131;27;Femme;<30 ans;Profession intermediaire, contremątre;Oui;Maison;7;76640;1,090068;4;0;0.5;0.5
AG2312;62182;26;Femme;<30 ans;Profession intermediaire, contremątre;Oui;Maison;4;33600;0,95787;4;0;0.5;0.5
AG2331;62202;24;Femme;<30 ans;Profession intermediaire, contremątre;Oui;Maison;6;62310;1,090068;4;0;0.5;0.5
AG2254;62130;18;Femme;<30 ans;Retraite;Oui;Maison;2;77000;1,32845;8;0;0.5;0.5
AG88;2189;61;Femme;>= 60 ans;Autre inactif;Non;Maison;5;62810;0,923857;9;1;0.5;0.5
AG89;2189;61;Femme;>= 60 ans;Autre inactif;Non;Maison;5;62810;0,923857;9;1;0.5;0.5
AG380;8967;64;Femme;>= 60 ans;Autre inactif;Non;Maison;4;39100;0,887814;9;2;0.5;0.5
AG381;8967;64;Femme;>= 60 ans;Autre inactif;Non;Maison;4;39100;0,887814;9;2;0.5;0.5
AG431;9908;65;Femme;>= 60 ans;Autre inactif;Non;Maison;9;35400;0,918457;9;2;0.5;0.5
AG874;21357;63;Femme;>= 60 ans;Autre inactif;Non;Maison;6;91310;1,01043;9;0;0.5;0.5
AG907;22041;63;Femme;>= 60 ans;Autre inactif;Non;Maison;6;37270;0,934715;9;0;0.5;0.5
AG1007;24288;80;Femme;>= 60 ans;Autre inactif;Non;Maison;6;50700;0,955744;9;0;0.5;0.5
AG1295;31169;60;Femme;>= 60 ans;Autre inactif;Non;Maison;2;33470;0,918457;9;0;0.5;0.5
AG1368;33828;61;Femme;>= 60 ans;Autre inactif;Non;Maison;4;59660;0,903529;9;0;0.5;0.5
AG1942;51644;74;Femme;>= 60 ans;Autre inactif;Non;Maison;3;95620;1,01043;9;0;0.5;0.5
AG1943;51644;74;Femme;>= 60 ans;Autre inactif;Non;Maison;3;95620;1,01043;9;0;0.5;0.5
AG2064;55660;61;Femme;>= 60 ans;Autre inactif;Non;Maison;4;59270;1,063717;9;0;0.5;0.5
AG19;326;72;Femme;>= 60 ans;Cadre, profession intellectuelle superieure, profession liberale;Non;Appartement;6;75005;0,787579;3;2;0.5;0.5
AG1335;32291;61;Femme;>= 60 ans;Cadre, profession intellectuelle superieure, profession liberale;Non;Appartement;7;91130;0,787579;3;0;0.5;0.5
AG1336;32291;61;Femme;>= 60 ans;Cadre, profession intellectuelle superieure, profession liberale;Non;Appartement;7;91130;0,787579;3;0;0.5;0.5
AG999;24082;60;Femme;>= 60 ans;Cadre, profession intellectuelle superieure, profession liberale;Non;Maison;9;56100;0,728563;3;0;0.51;0.95
AG1737;44164;61;Femme;>= 60 ans;Cadre, profession intellectuelle superieure, profession liberale;Non;Maison;6;60200;0,692006;3;0;0.51;0.95
AG1529;38818;62;Femme;>= 60 ans;Employe, personnel de service;Non;Appartement;5;50130;0,694587;5;0;0.35;0.84
AG1723;43626;60;Femme;>= 60 ans;Employe, personnel de service;Non;Appartement;9;31200;0,706882;5;0;0.35;0.84
AG1724;43626;60;Femme;>= 60 ans;Employe, personnel de service;Non;Appartement;9;31200;0,706882;5;0;0.35;0.84
AG100;2526;60;Femme;>= 60 ans;Employe, personnel de service;Non;Maison;3;58260;0,698671;5;1;0.2;0.8
AG324;7649;62;Femme;>= 60 ans;Employe, personnel de service;Non;Maison;4;64000;0,706882;5;2;0.2;0.8
AG325;7649;62;Femme;>= 60 ans;Employe, personnel de service;Non;Maison;4;64000;0,706882;5;2;0.2;0.8
AG348;8152;60;Femme;>= 60 ans;Employe, personnel de service;Non;Maison;3;2470;0,804441;5;2;0.2;0.8
AG385;9019;63;Femme;>= 60 ans;Employe, personnel de service;Non;Maison;3;62300;0,683298;5;1;0.2;0.8
AG386;9019;63;Femme;>= 60 ans;Employe, personnel de service;Non;Maison;3;62300;0,683298;5;1;0.2;0.8
