AGENT;ID;Sexe;Age;Activite;Revenu;CALCAGE;CP;TLUDA9;TLUDA5;TLCC9;TLCC5;RS3;CSP;C1;C2;C4;C3;O_C3;NRJ;QP1;QP2;QP3_A1;QP3_A2;QP3_A3;QP4;QP5_A1;QP5_A2;QP5_A3;QP5_A4;QP5_A5;QP5_A6;QP6_A1;QP6_A2;QP6_A3;QP6_A4;QP6_A5;QP6_A6;QP6_A7;QP7_M1;O_QP7_M1;QP7_M2;O_QP7_M2;QP7_M3;O_QP7_M3;QF1;QF2;QF3;QF4;QF5;QF6;QR1_A1;QR1_A2;QR1_A3;QR1_A4;QR1_A5;QR1_A6;QR1_A7;QR1_A8;QR1_A9;QR1_A10;QR1_A11;QR2;Q_F1;Q_F2;Q_F3;Q_F4;Q_F5;Q_F6;Q_F7;Q_F8;Q_F9_M1;O_Q_F9_M1;Q_F9_M2;O_Q_F9_M2;Q_F9_M3;O_Q_F9_M3;Q_F10;QE1;QE2;QE3;QE4;QE5;QE6_M1;O_QE6_M1;QE6_M2;O_QE6_M2;QE6_M3;O_QE6_M3;QE6_M4;O_QE6_M4;QE6_M5;O_QE6_M5;QE6_M6;O_QE6_M6;QE6_M7;O_QE6_M7;QE6_M8;O_QE6_M8;QE6_M9;O_QE6_M9;QE6_M10;O_QE6_M10;QE6_M11;O_QE6_M11;QE7;QE8;QA1;QA2;QA3;QA4;QA5;QC4;QC5;QC6;QC7;QC8;QC9;QC10;QC11;QC12;QC13_M1;QC13_M2;QC13_M3;QC13_M4;QC13_M5;QC13_M6;QC13_M7;QC13_M8;QC13_M9;QC13_M10;QC13_M11;QC13_M12;QC13_M13;QC14;QC15;QC16;S9;S10;QC17;S4;QC18_M1;QC18_M2;QC18_M3;QC18_M4;QC18_M5;POIDS
AG1;15;2;2;5;6;32;37110;2;2;1;1;2;2;1;;2;1;;1;2;2;3;2;2;2;3;1;1;1;1;1;2;2;2;3;3;2;1;5;;4;;2;;4;1;1;2;3;7;2;2;3;3;3;2;2;4;3;2;1;2;3;2;2;3;;;3;;4;;1;;5;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;5;1;3;3;1;4;4;6;3;2;1;1;2;9;1;8;10;5;13;3;2;;;;;;2;;2;2;1;1;7;97;;;;;1,050444
AG2;62;2;2;2;6;44;85600;3;2;1;1;2;1;1;;2;1;;1;2;2;3;2;2;2;3;3;1;3;99;2;2;2;2;2;;1;1;3;;2;;5;;5;1;2;2;2;3;4;3;4;4;3;2;3;3;4;2;3;3;4;1;3;2;3;2;2;75;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;4;2;3;3;1;5;5;3;5;99;2;2;1;7;2;1;3;5;8;6;13;;;;;;2;;1;5;3;3;6;1;;;;;1,082663
AG3;62;2;2;2;6;44;85600;3;2;1;1;2;1;1;;2;1;;1;2;2;3;2;2;2;3;3;1;3;99;2;2;2;2;2;;1;1;3;;2;;5;;5;1;2;2;2;3;4;3;4;4;3;2;3;3;4;2;3;3;4;1;3;2;3;2;2;75;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;4;2;3;3;1;5;5;3;5;99;2;2;1;7;2;1;3;5;8;6;13;;;;;;2;;1;5;3;3;6;1;;;;;1,082663
AG4;105;1;4;7;7;69;33610;7;4;8;4;2;3;;;1;1;;1;2;2;2;4;4;3;3;3;3;3;3;3;2;4;1;1;2;3;4;5;;2;;3;;5;1;2;2;99;2;2;1;4;3;2;1;1;4;4;2;2;1;3;3;1;4;;;4;;7;;4;;1;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;7;2;3;4;2;3;3;7;2;1;2;2;3;1;5;9;2;8;6;13;4;3;;;;;2;;1;2;1;4;10;1;;;;;0,988619
AG5;105;1;4;7;7;69;33610;7;4;8;4;2;3;;;1;1;;1;2;2;2;4;4;3;3;3;3;3;3;3;2;4;1;1;2;3;4;5;;2;;3;;5;1;2;2;99;2;2;1;4;3;2;1;1;4;4;2;2;1;3;3;1;4;;;4;;7;;4;;1;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;7;2;3;4;2;3;3;7;2;1;2;2;3;1;5;9;2;8;6;13;4;3;;;;;2;;1;2;1;4;10;1;;;;;0,988619
AG6;118;1;4;7;7;72;78360;1;1;9;5;1;3;;;2;1;;1;1;2;3;3;3;2;99;99;1;2;1;99;;;2;2;2;;2;4;;2;;;;5;1;1;2;2;7;2;2;3;2;2;2;2;2;3;2;2;3;2;1;2;3;;;3;;10;;8;;5;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;5;2;2;2;1;5;5;5;6;2;1;1;1;2;7;10;13;6;8;3;1;5;;;;;2;;1;2;1;3;9;5;;;;;1,0687
AG7;145;2;2;5;5;35;30100;9;5;6;3;3;2;1;;1;1;;1;2;2;2;1;3;1;3;99;1;1;1;1;4;;1;1;2;1;1;2;;4;;3;;5;1;1;2;99;6;2;1;1;1;1;1;2;2;1;1;1;2;4;2;4;1;1;4;2;100;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;;4;2;2;1;6;5;4;2;99;1;1;1;5;6;8;3;13;1;;;;;;;;2;;2;5;3;3;4;2;1;;;;0,857699
AG8;160;2;2;4;7;32;8000;6;3;6;3;1;1;1;;2;1;;1;1;2;4;2;2;3;3;2;2;1;99;3;3;3;3;3;;2;2;5;;4;;2;;5;1;1;2;3;5;1;1;3;4;3;1;3;3;3;2;1;2;4;2;2;2;3;3;3;;5;;1;;7;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;1;3;3;1;7;5;5;1;2;2;1;1;3;13;2;6;10;1;8;7;9;5;;;;2;;1;4;3;4;7;97;;;;;0,873478
AG9;174;2;1;5;4;26;52220;6;3;1;1;1;2;1;NA;1;3;;2;1;2;4;3;3;2;3;3;1;3;99;99;1;1;1;1;NA;NA;1;4;;5;;2;;2;NA;1;2;99;3;1;3;3;3;3;2;1;3;3;2;3;3;2;1;1;2;2;2;3;NA;5;;6;;NA;;2;NA;1;3;1;NA;NA;;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;1;1;4;3;1;4;4;7;1;99;4;4;1;1;7;5;4;2;6;13;8;3;NA;NA;NA;NA;2;NA;2;1;NA;1;8;97;NA;NA;NA;NA;1,057629
AG10;256;2;4;7;4;80;31150;7;4;8;4;2;3;;;1;1;;1;2;2;2;3;3;2;99;2;1;2;99;99;;2;3;2;;;2;5;;2;;1;;5;1;2;2;3;4;2;2;2;2;2;2;2;2;2;2;2;3;4;2;2;2;3;2;2;50;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;2;2;3;2;3;3;6;1;2;1;1;1;8;10;13;3;5;6;2;7;1;;;;;2;;1;1;;4;7;4;;;;;0,934715
AG11;256;2;4;7;4;80;31150;7;4;8;4;2;3;;;1;1;;1;2;2;2;3;3;2;99;2;1;2;99;99;;2;3;2;;;2;5;;2;;1;;5;1;2;2;3;4;2;2;2;2;2;2;2;2;2;2;2;3;4;2;2;2;3;2;2;50;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;2;2;3;2;3;3;6;1;2;1;1;1;8;10;13;3;5;6;2;7;1;;;;;2;;1;1;;4;7;4;;;;;0,934715
AG12;261;1;4;7;4;71;30600;9;5;4;2;3;3;NA;NA;1;3;;2;2;99;4;2;2;3;3;99;2;3;99;99;4;NA;2;2;NA;NA;3;4;;NA;;NA;;3;NA;1;2;2;3;2;2;4;4;4;2;3;4;4;2;2;2;3;1;2;4;NA;NA;4;NA;6;;5;;NA;;3;NA;1;1;1;1;7;;10;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;2;1;4;4;2;2;2;6;4;99;1;1;1;7;9;8;1;13;6;3;10;NA;NA;NA;NA;NA;2;NA;2;1;NA;4;7;4;2;1;NA;NA;0,988911
AG13;284;1;4;7;7;69;70400;5;3;4;2;1;3;;;1;1;;1;2;99;4;1;1;1;99;99;3;2;1;1;;;3;3;3;1;1;3;;2;;;;5;2;2;2;99;2;2;2;4;2;3;2;2;2;3;2;2;2;3;1;2;3;;;4;;2;;6;;1;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;1;3;4;1;4;5;4;6;99;2;2;2;8;13;10;1;2;6;3;5;;;;;;2;;1;2;1;4;4;97;;;;;0,977134
AG14;284;1;4;7;7;69;70400;5;3;4;2;1;3;;;1;1;;1;2;99;4;1;1;1;99;99;3;2;1;1;;;3;3;3;1;1;3;;2;;;;5;2;2;2;99;2;2;2;4;2;3;2;2;2;3;2;2;2;3;1;2;3;;;4;;2;;6;;1;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;1;3;4;1;4;5;4;6;99;2;2;2;8;13;10;1;2;6;3;5;;;;;;2;;1;2;1;4;4;97;;;;;0,977134
AG15;292;1;4;7;3;66;38800;8;5;8;4;1;3;;;1;1;;1;2;2;3;3;4;2;3;99;1;1;3;3;4;;3;1;3;2;2;2;;3;;;;3;1;2;1;2;3;1;1;4;3;2;2;3;4;4;2;2;2;2;2;3;3;;;3;;7;;5;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;1;3;4;2;3;3;3;1;99;2;2;1;7;8;1;13;;;;;;;;;;2;;2;1;;1;7;4;;;;;0,955635
AG16;292;1;4;7;3;66;38800;8;5;8;4;1;3;;;1;1;;1;2;2;3;3;4;2;3;99;1;1;3;3;4;;3;1;3;2;2;2;;3;;;;3;1;2;1;2;3;1;1;4;3;2;2;3;4;4;2;2;2;2;2;3;3;;;3;;7;;5;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;1;3;4;2;3;3;3;1;99;2;2;1;7;8;1;13;;;;;;;;;;2;;2;1;;1;7;4;;;;;0,955635
AG17;311;1;4;7;3;75;42100;8;5;8;4;1;3;;;1;1;;1;1;2;2;2;2;3;3;99;2;2;3;99;3;;3;3;2;;3;5;;2;;4;;5;1;2;2;3;2;2;1;3;1;3;2;2;3;4;4;2;1;3;3;2;4;;;4;;8;;7;;5;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;4;1;4;4;2;3;2;3;2;99;3;3;3;6;8;2;1;3;13;;;;;;;;2;;2;1;;4;6;2;1;;;;0,955635
AG18;311;1;4;7;3;75;42100;8;5;8;4;1;3;;;1;1;;1;1;2;2;2;2;3;3;99;2;2;3;99;3;;3;3;2;;3;5;;2;;4;;5;1;2;2;3;2;2;1;3;1;3;2;2;3;4;4;2;1;3;3;2;4;;;4;;8;;7;;5;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;4;1;4;4;2;3;2;3;2;99;3;3;3;6;8;2;1;3;13;;;;;;;;2;;2;1;;4;6;2;1;;;;0,955635
AG19;326;2;4;3;6;72;75005;1;1;9;5;1;1;1;;1;1;;1;2;2;2;3;3;2;99;99;2;3;3;99;;;3;2;2;;2;2;;3;;5;;5;1;2;99;3;2;1;2;3;1;1;1;1;1;2;1;1;2;3;2;3;3;;;3;;8;;7;;5;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;1;3;2;2;2;2;1;4;99;3;3;1;2;8;3;7;13;6;1;5;;;;;;2;;1;1;;4;10;97;;;;;0,787579
AG20;351;1;4;7;2;69;79200;3;2;1;1;2;3;NA;NA;1;98;SEOLIS;2;2;2;2;3;3;2;99;1;1;1;99;99;NA;3;3;3;NA;NA;3;2;;NA;;NA;;5;NA;99;99;3;4;2;2;3;2;3;2;2;3;3;2;2;2;2;2;2;3;NA;NA;4;NA;1;;3;;98;administrÈ par le dÈpartement;3;NA;1;3;1;NA;NA;;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;7;1;3;4;1;7;6;1;6;99;5;1;1;10;6;2;13;7;1;3;8;NA;NA;NA;NA;NA;2;NA;3;1;NA;4;5;5;NA;NA;NA;NA;1,163892
AG21;358;1;4;7;6;72;10430;6;3;7;4;1;3;NA;NA;1;5;;2;2;2;3;2;1;1;99;99;1;3;99;3;NA;NA;1;4;NA;1;1;3;;2;;1;;2;NA;2;2;2;2;2;2;4;3;4;2;2;3;4;4;3;4;3;2;3;1;2;2;2;99;NA;;NA;;NA;;1;NA;1;1;2;2;3;;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;97;2;1;5;1;4;4;1;6;6;4;6;99;2;2;3;8;1;13;5;6;2;3;7;NA;NA;NA;NA;NA;2;NA;1;2;1;3;7;97;NA;NA;NA;NA;0,955635
AG22;361;2;2;5;6;34;17330;3;2;1;1;2;2;1;NA;1;3;;2;1;2;3;2;1;2;3;3;3;3;99;1;3;2;3;3;NA;2;2;3;;2;;4;;3;NA;2;2;99;6;2;2;2;2;2;1;2;2;2;2;1;3;4;1;3;2;3;2;3;NA;4;;1;;NA;;1;NA;1;3;1;NA;NA;;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;2;2;3;1;7;6;1;2;99;4;4;2;2;13;6;5;8;1;NA;NA;NA;NA;NA;NA;NA;2;NA;1;4;3;3;8;97;NA;NA;NA;NA;1,050444
AG23;399;1;4;7;6;79;12200;7;4;1;1;2;3;;;2;1;;1;2;2;3;1;1;2;99;99;1;2;99;99;;;3;3;;;2;2;;;;;;5;99;1;99;99;3;3;1;3;2;3;1;1;3;3;1;1;4;3;1;1;3;;;3;;98;la situation actuelle;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;4;1;4;4;1;4;4;1;6;99;6;1;1;7;3;6;13;2;1;8;10;5;;;;;2;;1;2;1;3;9;97;;;;;1,163892
AG24;399;1;4;7;6;79;12200;7;4;1;1;2;3;;;2;1;;1;2;2;3;1;1;2;99;99;1;2;99;99;;;3;3;;;2;2;;;;;;5;99;1;99;99;3;3;1;3;2;3;1;1;3;3;1;1;4;3;1;1;3;;;3;;98;la situation actuelle;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;4;1;4;4;1;4;4;1;6;99;6;1;1;7;3;6;13;2;1;8;10;5;;;;;2;;1;2;1;3;9;97;;;;;1,163892
AG25;407;2;1;5;4;28;95530;1;1;9;5;1;2;1;;1;1;;1;2;2;4;2;2;2;3;99;1;1;99;3;4;;1;4;;1;2;2;;4;;;;3;2;1;1;2;2;1;1;4;2;3;1;1;3;4;1;2;1;4;2;2;3;;;3;;1;;8;;6;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;4;1;2;4;2;2;2;7;2;99;2;2;1;6;5;7;8;3;1;13;;;;;;;2;;2;3;3;2;7;2;1;;;;1,004646
AG26;433;1;4;7;5;75;44000;3;2;8;4;2;3;NA;NA;1;3;;2;2;2;3;4;4;2;99;99;2;3;3;99;NA;NA;3;3;3;NA;3;2;;5;;1;;2;NA;2;2;2;2;3;3;4;2;2;1;2;3;3;3;2;4;4;2;4;2;2;1;2;50;NA;;NA;;NA;;2;NA;1;1;2;3;98;il arretait la fourniture d electricitË  (leclerc);NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;99;3;3;NA;2;2;3;2;2;2;5;6;99;1;1;1;7;1;8;13;6;3;NA;NA;NA;NA;NA;NA;NA;2;NA;1;1;NA;3;9;1;NA;NA;NA;NA;0,988619
AG27;448;1;4;7;5;73;88370;5;3;1;1;1;3;;;2;1;;1;2;2;2;4;3;2;3;3;3;3;99;99;4;4;1;3;;;3;5;;;;;;2;1;1;2;3;7;1;1;4;2;2;2;1;1;4;1;2;2;3;4;3;2;3;3;4;;7;;1;;8;;4;1;;1;;1;10;;;;;;;;;;;;;;;;;;;;;;4;1;1;4;3;3;2;1;6;5;6;4;99;4;98;1;6;1;3;4;2;10;7;5;;;;;;1;1;1;2;1;4;7;5;4;;;;1,12506
AG28;448;1;4;7;5;73;88370;5;3;1;1;1;3;;;2;1;;1;2;2;2;4;3;2;3;3;3;3;99;99;4;4;1;3;;;3;5;;;;;;2;1;1;2;3;7;1;1;4;2;2;2;1;1;4;1;2;2;3;4;3;2;3;3;4;;7;;1;;8;;4;1;;1;;1;10;;;;;;;;;;;;;;;;;;;;;;4;1;1;4;3;3;2;1;6;5;6;4;99;4;98;1;6;1;3;4;2;10;7;5;;;;;;1;1;1;2;1;4;7;5;4;;;;1,12506
AG29;490;2;4;7;6;68;6400;9;5;8;4;3;3;;;2;1;;1;2;2;2;3;3;3;2;99;2;2;99;2;4;;3;3;;2;1;2;;4;;5;;5;1;1;2;99;2;1;1;3;1;3;1;1;2;3;1;1;1;3;3;2;4;;;4;;5;;1;;6;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;3;2;4;2;3;4;4;3;99;3;2;1;13;1;7;6;3;5;;;;;;;;2;;2;2;1;2;5;97;;;;;0,914419
AG30;497;1;4;7;5;76;40360;7;4;1;1;2;3;;;2;1;;1;2;99;3;3;2;3;3;3;3;3;99;3;2;2;2;2;;1;1;2;;4;;98;Exiger des communes qu'elles suppriment la taxe sur l'√àlectricit√à ce qui entra√ìnerait la suppression de la TVA sur les taxes ! Ce qui est une escroquerie majeure !;5;1;1;99;2;3;2;2;4;2;3;2;1;2;4;2;2;2;3;2;1;3;;;3;;9;;10;;8;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;1;4;4;1;7;5;1;4;2;2;2;2;5;3;1;6;8;;;;;;;;;2;;2;2;1;2;11;97;;;;;1,163892
AG31;502;1;4;7;6;73;83000;9;5;8;4;3;3;;;1;1;;1;2;2;2;3;3;2;3;99;2;3;2;3;3;;3;3;2;2;2;4;;2;;5;;4;1;2;99;3;3;2;2;4;3;3;2;1;2;4;3;2;2;3;3;2;3;;;3;;4;;8;;7;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;4;2;3;4;2;4;3;4;3;99;3;2;3;3;9;6;13;5;8;1;2;;;;;;2;;1;2;1;3;9;97;;;;;0,967152
AG32;504;2;4;7;7;73;93350;1;1;9;5;1;3;;;2;1;;1;1;2;3;1;2;2;99;99;1;3;99;99;;;2;4;;;2;3;;2;;4;;5;2;1;2;4;4;1;2;3;3;4;1;1;2;3;2;1;1;2;2;2;3;;;4;;10;;7;;5;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;;1;3;3;1;4;6;2;6;99;5;1;1;6;7;5;2;8;1;10;3;13;;;;;2;;1;2;1;3;6;97;;;;;1,01043
AG33;511;1;4;7;6;65;88360;5;3;4;2;1;3;;;1;1;;1;2;2;2;2;2;2;99;99;3;99;99;99;;;2;;;;2;4;;5;;3;;5;1;1;2;1;2;1;1;3;3;4;1;1;3;3;1;1;2;4;3;2;3;;;4;;8;;1;;4;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;2;1;4;4;1;5;5;3;6;99;5;5;1;6;1;7;4;2;5;13;3;8;;;;;2;;1;2;1;3;4;97;;;;;0,977134
AG34;602;2;4;7;3;61;56100;3;2;7;4;2;3;NA;NA;1;2;;2;2;2;3;2;3;2;3;3;1;1;99;2;4;4;4;3;NA;1;1;2;;3;;5;;3;NA;1;99;99;9;2;1;4;1;1;2;1;2;1;1;1;2;3;2;2;3;NA;NA;4;NA;1;;6;;2;;3;NA;1;3;1;NA;NA;;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;1;1;4;4;1;2;3;3;2;3;2;2;2;13;3;5;8;6;1;NA;NA;NA;NA;NA;NA;NA;2;NA;2;1;NA;2;5;5;NA;NA;NA;NA;0,934715
AG35;639;1;4;7;7;72;27920;2;2;1;1;1;3;;;2;1;;1;2;2;3;2;2;2;99;99;3;3;99;99;;;2;2;;;3;4;;2;;3;;5;99;2;2;99;3;2;2;3;2;3;2;2;2;3;2;2;2;3;1;2;3;;;3;;7;;8;;5;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;2;3;3;1;6;6;4;3;99;5;5;1;6;1;8;5;13;7;2;3;;;;;;2;;1;2;1;4;5;97;;;;;1,12506
AG36;639;1;4;7;7;72;27920;2;2;1;1;1;3;;;2;1;;1;2;2;3;2;2;2;99;99;3;3;99;99;;;2;2;;;3;4;;2;;3;;5;99;2;2;99;3;2;2;3;2;3;2;2;2;3;2;2;2;3;1;2;3;;;3;;7;;8;;5;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;2;3;3;1;6;6;4;3;99;5;5;1;6;1;8;5;13;7;2;3;;;;;;2;;1;2;1;4;5;97;;;;;1,12506
AG37;659;1;2;6;6;44;45320;2;2;1;1;1;2;2;NA;2;2;;2;1;1;3;2;2;1;3;2;1;1;99;1;3;2;2;2;NA;2;2;5;;2;;3;;3;NA;2;2;3;8;2;3;3;3;3;2;2;3;3;2;2;3;1;1;3;2;2;3;3;NA;4;;3;;NA;;2;NA;1;3;1;NA;NA;;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;3;2;2;3;1;4;5;4;1;99;1;5;3;13;8;6;1;2;3;NA;NA;NA;NA;NA;NA;NA;2;NA;1;4;3;4;6;4;NA;NA;NA;NA;1,073954
AG38;721;2;2;5;4;38;21130;6;3;1;1;1;2;1;NA;2;3;;2;1;2;2;4;2;1;3;99;3;3;99;99;4;NA;2;2;NA;NA;2;2;;4;;5;;3;NA;1;2;2;4;3;3;3;3;3;1;3;3;3;3;1;4;4;2;2;2;3;1;3;NA;98;La facilitÈ;NA;;NA;;3;NA;1;3;2;NA;NA;;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;5;1;4;4;1;6;5;6;3;1;6;98;1;5;7;3;8;6;13;1;2;NA;NA;NA;NA;NA;2;NA;1;3;2;3;7;4;5;NA;NA;NA;1,015397
AG39;743;1;4;7;7;74;94230;1;1;9;5;1;3;;;1;1;;1;2;2;3;4;4;2;99;99;1;1;99;2;;;3;4;;2;2;5;;2;;;;5;99;1;99;99;3;1;1;3;3;3;2;2;3;3;3;2;2;3;3;1;4;;;4;;5;;7;;9;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;4;3;2;3;1;3;4;2;6;99;2;1;2;5;8;1;2;3;10;4;6;13;;;;;2;;1;2;1;4;10;97;;;;;1,0687
AG40;774;2;4;7;3;71;49530;3;2;4;2;2;3;;;1;1;;1;1;2;3;3;3;2;1;99;1;1;99;99;1;;1;1;;;1;5;;4;;2;;5;99;1;99;3;3;3;2;3;2;2;2;1;2;3;1;1;3;2;1;2;3;;;4;;5;;;;;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;4;1;4;2;1;3;3;6;2;99;1;1;2;10;5;13;3;1;8;;;;;;;;2;;2;1;;4;7;97;;;;;0,955744
AG41;807;1;3;5;3;48;54380;5;3;2;2;1;2;1;;1;1;;1;1;2;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;;2;;;;5;1;1;2;5;7;1;1;3;2;2;1;2;1;1;1;1;3;4;4;2;2;2;2;2;50;;;;;;;2;1;;1;;3;10;;;;;;;;;;;;;;;;;;;;;;2;1;1;3;2;2;2;2;4;1;3;5;99;1;1;2;5;10;3;8;6;13;;;;;;;;2;;2;1;;2;4;4;2;;;;0,913564
AG42;827;1;3;5;5;51;95210;1;1;9;5;1;2;2;;2;1;;1;2;2;2;2;2;1;3;99;3;3;3;99;2;;3;3;2;;1;2;;5;;4;;5;2;1;99;99;9;1;2;3;2;2;1;1;2;3;1;1;2;2;2;2;3;;;3;;10;;1;;2;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;1;3;3;1;5;6;4;5;99;1;1;1;2;5;1;3;8;10;13;7;;;;;;2;;1;4;2;3;5;97;;;;;0,999173
AG43;853;2;2;5;7;31;86160;3;2;2;2;2;2;1;NA;1;98;SorÈgies;2;2;1;2;1;1;3;3;3;1;3;99;99;4;4;2;4;NA;NA;2;5;;2;;NA;;5;NA;1;2;99;2;2;2;4;3;4;2;2;2;4;2;2;2;3;2;1;4;NA;NA;4;NA;1;;3;;4;;4;NA;1;3;1;NA;NA;;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;NA;1;4;3;1;7;6;2;4;1;6;1;1;7;8;6;3;13;2;1;NA;NA;NA;NA;NA;NA;2;NA;1;4;3;4;4;2;5;NA;NA;NA;0,912329
AG44;896;2;3;4;9;58;71100;6;3;6;3;1;1;1;;1;1;;1;2;2;3;3;2;2;99;99;2;99;99;99;;;2;;;;2;3;;2;;5;;5;1;1;99;3;5;1;1;2;1;1;1;1;1;1;1;1;1;3;3;2;3;;;4;;9;;5;;1;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;1;4;4;1;6;6;5;5;2;1;1;1;10;8;13;5;1;2;6;3;7;;;;;2;;1;1;;4;8;97;;;;;0,855514
AG45;986;1;3;8;3;57;19000;7;4;5;3;1;3;NA;2;1;2;;2;1;2;2;3;3;2;2;3;2;2;2;2;2;3;2;2;3;2;2;4;;2;;3;;3;NA;99;2;2;1;2;2;2;2;2;2;2;2;2;3;2;1;2;2;2;3;NA;NA;3;NA;4;;3;;1;;3;NA;1;3;1;NA;NA;;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;1;3;4;2;4;4;4;2;99;2;2;2;13;8;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;1;NA;3;5;2;NA;NA;NA;NA;1,160883
AG46;1011;1;4;7;5;74;31440;7;4;1;1;2;3;;;1;1;;1;1;2;2;3;2;3;99;99;1;3;3;99;;;3;4;4;;4;2;;;;;;5;1;2;2;2;3;2;2;4;4;4;2;2;4;4;3;3;2;3;2;1;3;;;4;;7;;1;;3;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;5;1;4;4;1;4;4;2;6;99;5;5;1;3;2;6;13;7;1;;;;;;;;2;;1;2;1;4;7;97;;;;;1,163892
AG47;1027;1;3;4;7;50;37000;2;2;8;4;2;1;1;NA;2;2;;2;2;2;3;3;2;2;2;2;3;3;3;2;2;2;2;2;2;2;2;4;;5;;3;;5;NA;1;2;2;4;1;3;3;2;3;1;1;2;2;2;2;2;3;3;2;3;NA;NA;3;NA;4;;3;;NA;;3;NA;1;3;1;NA;NA;;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;1;2;3;3;1;5;4;2;6;99;1;1;3;6;3;13;5;10;1;2;8;NA;NA;NA;NA;NA;2;NA;1;4;1;3;6;2;1;NA;NA;NA;0,952651
