AGENT;ID;Sexe;Age;Activite;Revenu;CALCAGE;CP;TLUDA9;TLUDA5;TLCC9;TLCC5;RS3;CSP;C1;C2;C4;C3;O_C3;NRJ;QP1;QP2;QP3_A1;QP3_A2;QP3_A3;QP4;QP5_A1;QP5_A2;QP5_A3;QP5_A4;QP5_A5;QP5_A6;QP6_A1;QP6_A2;QP6_A3;QP6_A4;QP6_A5;QP6_A6;QP6_A7;QP7_M1;O_QP7_M1;QP7_M2;O_QP7_M2;QP7_M3;O_QP7_M3;QF1;QF2;QF3;QF4;QF5;QF6;QR1_A1;QR1_A2;QR1_A3;QR1_A4;QR1_A5;QR1_A6;QR1_A7;QR1_A8;QR1_A9;QR1_A10;QR1_A11;QR2;Q_F1;Q_F2;Q_F3;Q_F4;Q_F5;Q_F6;Q_F7;Q_F8;Q_F9_M1;O_Q_F9_M1;Q_F9_M2;O_Q_F9_M2;Q_F9_M3;O_Q_F9_M3;Q_F10;QE1;QE2;QE3;QE4;QE5;QE6_M1;O_QE6_M1;QE6_M2;O_QE6_M2;QE6_M3;O_QE6_M3;QE6_M4;O_QE6_M4;QE6_M5;O_QE6_M5;QE6_M6;O_QE6_M6;QE6_M7;O_QE6_M7;QE6_M8;O_QE6_M8;QE6_M9;O_QE6_M9;QE6_M10;O_QE6_M10;QE6_M11;O_QE6_M11;QE7;QE8;QA1;QA2;QA3;QA4;QA5;QC4;QC5;QC6;QC7;QC8;QC9;QC10;QC11;QC12;QC13_M1;QC13_M2;QC13_M3;QC13_M4;QC13_M5;QC13_M6;QC13_M7;QC13_M8;QC13_M9;QC13_M10;QC13_M11;QC13_M12;QC13_M13;QC14;QC15;QC16;S9;S10;QC17;S4;QC18_M1;QC18_M2;QC18_M3;QC18_M4;QC18_M5;POIDS
AG1181;29154;2;4;5;5;61;84120;9;5;5;3;2;2;1;;2;1;;1;1;2;2;4;3;2;2;2;1;1;1;1;2;2;2;2;2;1;1;4;;5;;;;5;99;1;2;4;6;1;1;1;1;1;2;1;2;2;1;1;1;3;4;1;2;2;4;4;;8;;1;;9;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;;2;3;4;1;6;5;3;3;2;5;1;1;1;13;6;10;5;3;8;2;7;;;;;2;;1;1;;4;7;97;;;;;0,694587
AG1182;29167;2;3;5;5;53;7130;8;5;7;4;2;2;1;;2;1;;1;2;99;3;2;2;2;99;99;2;2;99;99;;;2;2;;;2;2;;5;;;;5;99;2;2;99;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;3;;8;;1;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;5;1;3;3;1;5;6;1;6;99;5;1;3;13;10;5;8;6;2;3;1;;;;;;2;;1;4;2;4;6;97;;;;;0,873905
AG1183;29177;2;3;8;7;52;59495;4;3;7;4;1;3;NA;2;2;2;;2;2;2;2;2;2;3;99;99;2;2;99;2;NA;NA;3;3;NA;3;3;5;;2;;3;;4;NA;2;99;99;3;2;2;3;2;2;2;2;2;3;2;2;3;3;3;2;3;NA;NA;3;NA;3;;4;;1;;3;NA;2;3;NA;NA;NA;;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;3;NA;1;3;3;1;4;4;5;6;99;2;1;1;1;7;8;6;2;3;5;13;NA;NA;NA;NA;NA;2;NA;1;2;1;4;1;97;NA;NA;NA;NA;1,117016
AG1184;29181;2;2;3;7;41;21560;6;3;1;1;1;1;1;;2;1;;1;1;2;3;4;4;2;3;1;1;99;99;99;2;3;2;;;;2;5;;2;;3;;1;1;2;2;3;5;2;2;3;1;2;2;1;1;2;1;1;2;4;2;2;3;;;3;;7;;4;;8;;3;1;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;97;1;1;1;3;2;2;1;6;5;7;1;1;4;4;1;1;8;3;5;2;13;6;7;;;;;;1;1;1;4;3;3;10;5;;;;;1,046541
AG1185;29181;2;2;3;7;41;21560;6;3;1;1;1;1;1;;2;1;;1;1;2;3;4;4;2;3;1;1;99;99;99;2;3;2;;;;2;5;;2;;3;;1;1;2;2;3;5;2;2;3;1;2;2;1;1;2;1;1;2;4;2;2;3;;;3;;7;;4;;8;;3;1;;1;;1;1;;;;;;;;;;;;;;;;;;;;;;97;1;1;1;3;2;2;1;6;5;7;1;1;4;4;1;1;8;3;5;2;13;6;7;;;;;;1;1;1;4;3;3;10;5;;;;;1,046541
AG1186;29184;2;3;8;9;54;59430;4;3;7;4;1;3;;2;2;1;;1;2;2;2;3;3;2;3;99;1;1;99;99;4;;2;4;;;2;3;;4;;;;5;99;1;2;3;5;1;1;4;2;1;1;1;1;4;1;2;1;3;3;1;4;;;4;;8;;4;;1;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;1;3;4;1;5;5;5;6;99;1;1;2;10;6;2;3;1;13;8;5;;;;;;2;;1;2;1;1;7;97;;;;;1,117016
AG1187;29184;2;3;8;9;54;59430;4;3;7;4;1;3;;2;2;1;;1;2;2;2;3;3;2;3;99;1;1;99;99;4;;2;4;;;2;3;;4;;;;5;99;1;2;3;5;1;1;4;2;1;1;1;1;4;1;2;1;3;3;1;4;;;4;;8;;4;;1;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;1;3;4;1;5;5;5;6;99;1;1;2;10;6;2;3;1;13;8;5;;;;;;2;;1;2;1;1;7;97;;;;;1,117016
AG1188;29188;1;4;7;7;69;50100;2;2;6;3;2;3;;;1;1;;1;1;2;2;3;3;1;3;99;2;3;3;2;3;;2;3;3;2;2;4;;3;;2;;5;1;1;99;4;2;2;1;2;2;2;2;2;2;3;2;2;1;2;3;2;3;;;4;;8;;10;;4;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;2;2;2;4;2;5;4;3;4;99;3;1;3;7;3;13;5;8;1;10;6;;;;;;2;;2;2;1;1;7;2;1;;;;0,971423
AG1189;29222;2;2;4;7;42;59990;4;3;2;2;1;1;1;;1;1;;1;2;2;2;1;1;2;3;3;3;3;99;2;1;1;1;1;;1;1;2;;3;;4;;5;2;1;2;4;3;2;2;3;2;2;1;1;2;2;2;1;1;4;3;2;2;3;3;3;;7;;5;;6;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;1;4;4;1;4;3;1;3;2;2;1;1;5;3;7;10;1;6;8;13;;;;;;2;;1;2;1;3;8;3;5;;;;0,908939
AG1190;29222;2;2;4;7;42;59990;4;3;2;2;1;1;1;;1;1;;1;2;2;2;1;1;2;3;3;3;3;99;2;1;1;1;1;;1;1;2;;3;;4;;5;2;1;2;4;3;2;2;3;2;2;1;1;2;2;2;1;1;4;3;2;2;3;3;3;;7;;5;;6;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;1;4;4;1;4;3;1;3;2;2;1;1;5;3;7;10;1;6;8;13;;;;;;2;;1;2;1;3;8;3;5;;;;0,908939
AG1191;29222;2;2;4;7;42;59990;4;3;2;2;1;1;1;;1;1;;1;2;2;2;1;1;2;3;3;3;3;99;2;1;1;1;1;;1;1;2;;3;;4;;5;2;1;2;4;3;2;2;3;2;2;1;1;2;2;2;1;1;4;3;2;2;3;3;3;;7;;5;;6;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;1;4;4;1;4;3;1;3;2;2;1;1;5;3;7;10;1;6;8;13;;;;;;2;;1;2;1;3;8;3;5;;;;0,908939
AG1192;29243;2;3;3;9;55;68310;5;3;8;4;1;1;1;;2;1;;1;2;2;2;3;3;3;99;99;1;1;99;99;;;3;3;;;3;3;;2;;5;;5;1;2;2;3;8;2;2;4;2;3;2;2;3;4;3;3;2;3;2;1;3;;;3;;4;;10;;6;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;2;3;3;1;6;5;3;5;99;4;1;1;10;13;8;1;7;3;2;6;;;;;;2;;1;2;1;4;10;1;;;;;0,870657
AG1193;29243;2;3;3;9;55;68310;5;3;8;4;1;1;1;;2;1;;1;2;2;2;3;3;3;99;99;1;1;99;99;;;3;3;;;3;3;;2;;5;;5;1;2;2;3;8;2;2;4;2;3;2;2;3;4;3;3;2;3;2;1;3;;;3;;4;;10;;6;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;2;3;3;1;6;5;3;5;99;4;1;1;10;13;8;1;7;3;2;6;;;;;;2;;1;2;1;4;10;1;;;;;0,870657
AG1194;29337;1;3;6;5;45;44220;3;2;8;4;2;2;1;;1;1;;1;2;2;2;2;2;2;3;99;1;1;99;99;2;;2;2;;;2;4;;2;;5;;5;1;1;2;1;2;2;1;4;4;4;2;2;4;4;1;1;2;3;3;1;3;;;4;;4;;7;;5;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;1;4;3;1;2;2;1;3;2;1;1;2;6;8;3;1;13;5;10;;;;;;;2;;1;2;1;4;4;5;4;;;;0,924301
AG1195;29346;2;4;7;9;69;59670;4;3;1;1;1;3;;;2;1;;1;2;99;3;3;3;2;99;99;1;3;99;99;;;2;3;;;2;5;;2;;4;;5;99;1;99;4;6;1;1;4;4;4;4;1;1;4;1;1;2;3;2;2;3;;;4;;4;;5;;1;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;1;3;3;1;7;6;3;6;99;4;1;3;5;8;10;2;13;1;3;6;;;;;;2;;1;2;1;4;4;97;;;;;1,063717
AG1196;29384;2;3;8;6;51;50100;2;2;6;3;2;3;;2;2;1;;1;2;2;2;3;3;2;3;3;3;1;3;2;2;4;2;2;2;2;2;5;;;;;;2;1;2;2;2;5;1;1;3;2;3;2;1;2;3;1;2;2;3;3;1;3;;;3;;5;;1;;4;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;2;1;3;3;1;4;4;7;1;1;2;2;1;8;1;5;2;13;3;;;;;;;;1;1;2;5;2;3;7;97;;;;;1,13547
AG1197;29393;2;2;3;9;39;83630;9;5;1;1;3;1;1;;2;1;;1;2;2;4;2;2;1;3;99;3;3;99;99;2;;3;2;;;1;2;;4;;3;;5;1;1;99;99;6;1;3;2;4;2;1;2;2;4;2;1;2;3;2;1;3;;;3;;7;;4;;10;;3;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;;1;3;4;1;6;5;6;4;99;4;1;1;6;5;10;13;9;8;3;1;2;4;7;;;2;;1;3;2;4;10;3;5;1;2;;1,059154
AG1198;29393;2;2;3;9;39;83630;9;5;1;1;3;1;1;;2;1;;1;2;2;4;2;2;1;3;99;3;3;99;99;2;;3;2;;;1;2;;4;;3;;5;1;1;99;99;6;1;3;2;4;2;1;2;2;4;2;1;2;3;2;1;3;;;3;;7;;4;;10;;3;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;;1;3;4;1;6;5;6;4;99;4;1;1;6;5;10;13;9;8;3;1;2;4;7;;;2;;1;3;2;4;10;3;5;1;2;;1,059154
